City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp (F),Wind Speed
Hibbing,1,US,1632688930,35,47.4272,-92.9377,78.3,5.39
Hobyo,41,SO,1632688930,79,5.3505,48.5268,77.92,26.98
Krasnosel'kup,26,RU,1632688930,88,65.7,82.4667,33.1,7.2
Denpasar,20,ID,1632688749,83,-8.65,115.2167,78.46,8.05
São José da Coroa Grande,35,BR,1632688931,86,-8.8978,-35.1478,75.88,12.97
Mount Gambier,83,AU,1632688931,87,-37.8333,140.7667,40.91,9.22
Muisne,95,EC,1632688931,82,0.6,-80.0333,82.51,12.21
Vao,99,NC,1632688932,68,-22.6667,167.4833,67.69,4.65
Pochutla,72,MX,1632688932,61,15.7432,-96.4661,87.01,6.62
Novichikha,9,RU,1632688932,89,52.204,81.3877,27.07,5.91
Nikolskoye,66,RU,1632688933,98,59.7035,30.7861,49.89,4.79
Wakkanai,3,JP,1632688933,82,45.4094,141.6739,57.79,10.0
Presidencia Roque Sáenz Peña,0,AR,1632688934,22,-26.7852,-60.4388,89.74,5.95
Teahupoo,8,PF,1632688934,76,-17.8333,-149.2667,78.76,13.94
Nagua,20,DO,1632688934,70,19.3832,-69.8474,92.44,11.5
Lerwick,100,GB,1632688935,97,60.1545,-1.1494,55.4,27.11
Brae,100,GB,1632688935,96,60.3964,-1.353,55.31,22.86
Cidreira,1,BR,1632688936,90,-30.1811,-50.2056,66.02,5.86
Mapimí,83,MX,1632688936,32,25.8167,-103.85,85.17,6.49
Praia,20,CV,1632688936,74,14.9215,-23.5087,81.14,12.66
Kavieng,97,PG,1632688937,80,-2.5744,150.7967,81.16,5.88
Iralaya,100,HN,1632688937,80,15.0,-83.2333,82.04,7.27
Kuching,40,MY,1632688715,94,1.55,110.3333,77.22,2.3
Iqaluit,75,CA,1632688937,80,63.7506,-68.5145,35.33,18.01
Castro,57,BR,1632688938,68,-24.7911,-50.0119,66.88,2.84
Berlevåg,75,NO,1632688938,71,70.8578,29.0864,48.2,18.41
Arman',31,RU,1632688660,68,59.7,150.1667,36.95,8.93
Bharatpur,36,IN,1632688939,89,27.2167,77.4833,76.55,5.68
Te Anau,12,NZ,1632688939,71,-45.4167,167.7167,38.64,0.27
Athabasca,99,CA,1632688864,43,54.7169,-113.2854,69.49,12.24
Launceston,90,AU,1632688940,90,-41.45,147.1667,42.15,6.91
Vágur,100,FO,1632688940,89,61.4732,-6.8119,49.57,21.16
Khairāgarh,72,IN,1632688940,86,26.95,77.8167,78.17,6.31
Mokhsogollokh,100,RU,1632688941,95,61.4681,128.9203,30.06,5.91
Gushikawa,1,JP,1632688941,96,26.3544,127.8686,79.83,5.75
Santa María Rayón,100,MX,1632688941,77,19.1444,-99.5836,71.91,3.0
Kapit,92,MY,1632688942,99,2.0167,112.9333,73.11,0.87
Vostok,49,RU,1632688942,93,46.4856,135.8833,44.1,3.53
Mersing,77,MY,1632688942,94,2.4312,103.8405,75.11,5.75
Bara,15,NG,1632688943,73,10.3744,10.7288,76.93,7.47
Hasaki,5,JP,1632688943,68,35.7333,140.8333,64.8,15.43
Esperance,74,AU,1632688944,89,-33.8667,121.9,53.44,16.87
Maningrida,57,AU,1632688944,83,-12.0667,134.2667,73.42,4.54
Vila,100,PT,1632688944,90,42.0304,-8.1588,56.34,6.04
Shagonar,62,RU,1632688945,64,51.5333,92.8,33.19,9.69
Plouzané,90,FR,1632688945,91,48.3833,-4.6167,64.49,18.41
Auki,99,SB,1632688945,81,-8.7676,160.7034,79.92,3.31
Bambous Virieux,75,MU,1632688946,94,-20.3428,57.7575,70.05,11.5
Muscle Shoals,20,US,1632688946,50,34.7448,-87.6675,82.99,3.0
Ndélé,92,CF,1632688946,94,8.4109,20.6473,70.59,2.95
Santa María del Oro,92,MX,1632688947,38,25.9333,-105.3667,79.79,1.52
Khatanga,100,RU,1632688947,87,71.9667,102.5,31.3,9.15
Isangel,59,VU,1632688947,73,-19.55,169.2667,73.51,2.3
Gulfport,1,US,1632688738,52,30.3674,-89.0928,86.29,9.22
Buchanan,100,LR,1632688898,93,5.8808,-10.0467,78.76,8.39
Bonthe,100,SL,1632688948,90,7.5264,-12.505,76.66,6.71
Port Elizabeth,90,ZA,1632688948,94,-33.918,25.5701,63.1,8.05
Coquimbo,0,CL,1632688948,72,-29.9533,-71.3436,62.33,13.8
Ambo,57,PE,1632688949,48,-10.1308,-76.2047,74.01,11.39
Klaksvík,100,FO,1632688949,86,62.2266,-6.589,50.92,21.74
Anadyr,20,RU,1632688949,92,64.75,177.4833,28.9,1.99
Huarmey,20,PE,1632688950,75,-10.0681,-78.1522,67.8,9.26
Khanbari,65,NP,1632688950,79,27.3747,87.2039,70.23,3.44
Quelimane,0,MZ,1632688951,88,-17.8786,36.8883,75.15,4.61
Turukhansk,34,RU,1632688951,84,65.8167,87.9833,33.93,5.93
Maple Creek,36,CA,1632688951,19,49.9168,-109.4848,81.09,16.11
Richards Bay,91,ZA,1632688952,92,-28.783,32.0377,65.07,4.72
Cairo,0,EG,1632688798,61,30.0626,31.2497,77.76,10.36
Longkou,100,CN,1632688952,94,37.6508,120.3286,67.15,6.11
Carnarvon,0,AU,1632688952,82,-24.8667,113.6333,59.07,6.91
Egvekinot,14,RU,1632688953,74,66.3167,-179.1667,23.58,1.05
Arkhara,100,RU,1632688953,78,49.4212,130.0842,54.73,13.58
Basoko,89,CD,1632688953,93,1.2391,23.616,70.16,2.15
Parintins,72,BR,1632688954,68,-2.6283,-56.7358,80.58,2.17
Palana,95,RU,1632688954,74,59.1167,159.9667,42.13,5.55
Agudos,20,BR,1632688955,55,-22.4692,-48.9875,80.85,11.5
Saint-Philippe,59,RE,1632688955,88,-21.3585,55.7679,71.19,13.91
Nanortalik,12,GL,1632688955,74,60.1432,-45.2371,37.85,3.58
Hambantota,100,LK,1632688956,84,6.1241,81.1185,79.38,26.6
Hervey Bay,97,AU,1632688956,76,-25.2986,152.8535,69.04,22.08
San Ignacio,75,BZ,1632688956,74,17.1561,-89.0714,86.14,6.91
Kutum,55,SD,1632688957,60,14.2,24.6667,74.37,5.37
Makakilo City,40,US,1632688957,64,21.3469,-158.0858,82.72,13.8
Pak Phanang,100,TH,1632688957,87,8.3511,100.202,80.08,1.97
Miraflores,88,MX,1632688958,67,19.2167,-98.8083,75.02,2.39
Bagdarin,83,RU,1632688958,89,54.4333,113.6,31.39,4.29
Kaspiysk,1,RU,1632688958,72,42.8816,47.6392,57.38,6.71
Lompoc,90,US,1632688959,77,34.6391,-120.4579,75.02,8.05
Jiayuguan City,71,CN,1632688959,32,39.8167,98.3,59.22,6.06
Chokurdakh,100,RU,1632688959,83,70.6333,147.9167,27.05,12.73
Saint George,1,US,1632688859,25,37.1041,-113.5841,91.44,1.99
Morant Bay,16,JM,1632688765,69,17.8815,-76.4093,89.22,7.87
Prince Rupert,90,CA,1632688960,78,54.3161,-130.3201,53.69,8.05
Matagami,75,CA,1632688960,87,49.7502,-77.6328,51.91,0.0
Aksarka,24,RU,1632688961,86,66.5606,67.7975,30.4,7.29
Aitape,100,PG,1632688961,86,-3.1374,142.3475,78.35,3.87
Kemijärvi,96,FI,1632688961,82,66.7131,27.4306,43.9,8.32
Jalu,0,LY,1632688962,34,29.0331,21.5482,75.78,7.27
Gölköy,0,TR,1632688962,86,40.6875,37.6178,47.61,2.33
Olinda,75,BR,1632688962,69,-8.0089,-34.8553,78.53,17.27
Golyshmanovo,14,RU,1632688963,80,56.3979,68.3728,32.34,12.95
Sri Aman,100,MY,1632688963,100,1.2376,111.4621,77.09,0.0
Bījār,0,IR,1632688963,48,35.8668,47.6051,53.94,3.13
Aykhal,87,RU,1632688964,94,66.0,111.5,24.55,11.45
Poli,56,TZ,1632688964,73,-3.3333,36.8,58.23,4.14
Fengrun,94,CN,1632688964,97,39.8333,118.1167,63.75,3.15
Wilmington,1,US,1632688930,40,34.2257,-77.9447,82.0,12.66
Matara,100,LK,1632688965,88,5.9485,80.5353,77.95,22.08
Severo-Yeniseyskiy,100,RU,1632688965,96,60.3725,93.0408,31.24,5.93
Yinchuan,67,CN,1632688747,42,38.4681,106.2731,64.74,3.18
Lavrentiya,98,RU,1632688966,82,65.5833,-171.0,31.66,6.33
Lodja,88,CD,1632688966,81,-3.4833,23.4333,71.92,1.45
Fiditi,100,NG,1632688967,93,7.7136,3.9172,74.35,4.5
Warrnambool,99,AU,1632688967,72,-38.3833,142.4833,44.82,12.59
Narrabri,0,AU,1632688967,81,-30.3167,149.7833,44.69,3.44
Belaya Gora,100,RU,1632688968,97,68.5333,146.4167,32.41,17.56
Terrell,1,US,1632688968,33,32.736,-96.2753,93.85,8.05
Siocon,100,PH,1632688968,89,7.7061,122.1353,78.24,3.53
Port Hardy,75,CA,1632688969,88,50.6996,-127.4199,55.58,17.27
Atbasar,100,KZ,1632688969,38,51.8,68.3333,41.97,25.55
Popondetta,55,PG,1632688970,91,-8.7537,148.2534,74.82,2.17
Constantine,40,DZ,1632688970,69,36.365,6.6147,76.41,2.3
Sept-Îles,90,CA,1632688970,98,50.2001,-66.3821,57.72,11.01
Shubarshi,93,KZ,1632688971,59,48.5872,57.1869,57.07,10.16
Canyon Lake,49,US,1632688681,31,29.8752,-98.2625,90.99,1.99
Peru,1,US,1632688739,37,40.7537,-86.0689,79.41,18.41
Helong,100,CN,1632688971,97,42.5397,128.9972,55.49,3.31
Torbeyevo,100,RU,1632688971,94,54.0797,43.2473,47.89,12.62
Faanui,17,PF,1632688972,72,-16.4833,-151.75,79.95,14.58
Bandarbeyla,53,SO,1632688972,77,9.4942,50.8122,79.27,18.81
Vanimo,100,PG,1632688972,90,-2.6741,141.3028,77.38,3.98
São Sebastião,10,BR,1632688973,89,-23.76,-45.4097,69.64,2.84
Nouadhibou,54,MR,1632688973,78,20.931,-17.0347,73.38,13.8
Kloulklubed,63,PW,1632688973,77,7.0419,134.2556,77.5,11.07
Tadine,100,NC,1632688974,64,-21.55,167.8833,69.91,7.9
Avera,3,US,1632688974,37,33.194,-82.5271,84.7,1.32
Dudinka,22,RU,1632688974,65,69.4058,86.1778,30.61,6.71
Fountain,1,US,1632688975,13,38.6822,-104.7008,90.86,3.44
Ucluelet,100,CA,1632688699,93,48.9329,-125.5528,59.09,1.99
Port Lincoln,92,AU,1632688975,65,-34.7333,135.8667,55.92,13.0
Nantucket,1,US,1632688975,70,41.2835,-70.0995,73.54,18.41
Berezovyy,73,RU,1632688976,95,51.6667,135.7,47.17,1.12
Marsabit,0,KE,1632688976,44,2.3284,37.9899,70.84,13.29
Cabedelo,32,BR,1632688976,83,-6.9811,-34.8339,75.87,17.65
Skibbereen,100,IE,1632688977,61,51.55,-9.2667,53.4,9.37
Tiarei,8,PF,1632688977,76,-17.5333,-149.3333,84.22,11.7
Itoman,20,JP,1632688978,92,26.1247,127.6694,80.62,9.22
Sosnovka,100,RU,1632688978,80,56.255,51.2842,48.11,9.69
Bowen,30,AU,1632688978,90,-20.0167,148.2333,59.22,8.12
Ratnagiri,86,IN,1632688979,86,16.9833,73.3,77.56,4.94
Narsaq,0,GL,1632688979,53,60.9167,-46.05,43.02,3.74
Ust-Nera,82,RU,1632688979,87,64.5667,143.2,30.15,4.94
Mackay,40,AU,1632688980,94,-21.15,149.2,70.05,5.75
Honningsvåg,75,NO,1632688980,76,70.9821,25.9704,47.95,3.44
Logansport,1,US,1632688980,34,40.7545,-86.3567,79.52,13.8
Grand Gaube,40,MU,1632688980,88,-20.0064,57.6608,70.2,5.01
Abu Samrah,8,SY,1632688981,28,35.3029,37.1841,72.86,3.65
Caxito,53,AO,1632688981,84,-8.5785,13.6643,75.85,4.12
Provincia di Vicenza,100,IT,1632688982,78,45.6667,11.45,67.69,2.08
Lethem,88,GY,1632688982,52,3.3803,-59.7968,89.06,2.53
Redmond,100,US,1632688934,74,47.674,-122.1215,65.28,3.11
Portland,20,US,1632688548,54,45.5234,-122.6762,74.46,3.0
Donskoye,100,RU,1632688982,82,45.4552,41.9741,59.13,22.44
Kirakira,90,SB,1632688983,82,-10.4544,161.9205,80.67,8.57
Padang,100,ID,1632688983,93,-0.9492,100.3543,76.08,1.48
Svarstad,93,NO,1632688983,58,59.399,9.9698,53.26,0.56
Trelew,21,AR,1632688984,15,-43.249,-65.3051,58.73,16.73
Wanning,15,CN,1632688984,87,18.8003,110.3967,78.4,2.51
Khovd,20,MN,1632688984,28,48.0056,91.6419,40.24,0.6
Luanda,20,AO,1632688985,83,-8.8368,13.2343,75.2,5.75
Cuencamé de Ceniceros,89,MX,1632688985,35,24.8711,-103.6964,81.72,6.04
Airai,52,TL,1632688986,70,-8.9266,125.4092,57.69,2.44
Laas,100,IT,1632688986,96,46.6166,10.7002,61.68,3.06
Rurrenabaque,46,BO,1632688986,24,-14.4413,-67.5278,100.53,4.81
Saint Paul Harbor,1,US,1632688987,53,57.79,-152.4072,49.51,18.41
Vestmannaeyjar,97,IS,1632688987,81,63.4427,-20.2734,42.82,5.77
Svetlaya,12,RU,1632688987,65,46.5389,138.3297,52.3,3.71
Sibolga,98,ID,1632688988,91,1.7427,98.7792,75.99,2.64
Yining,14,CN,1632688988,88,29.0361,114.5636,76.14,1.16
Erzin,0,TR,1632688989,30,36.9559,36.2,73.0,3.67
Kangaatsiaq,0,GL,1632688989,49,68.3065,-53.4641,24.26,10.51
Zeya,100,RU,1632688989,94,53.75,127.2667,51.93,11.54
Fort Nelson,75,CA,1632688990,46,58.8053,-122.7002,49.59,6.91
Savinka,88,RU,1632688990,83,50.0785,47.0994,51.4,15.5
Burnie,62,AU,1632688990,85,-41.0667,145.9167,44.22,5.37
Gurkovo,0,BG,1632688892,62,42.6667,25.8,63.5,1.36
San Miguel,20,SV,1632688991,57,13.4833,-88.1833,94.48,0.0
Mazatlán,40,MX,1632688763,77,23.2167,-106.4167,87.76,4.0
Alțâna,10,RO,1632688991,72,45.9333,24.4667,52.72,2.89
Seymchan,19,RU,1632688992,72,62.8833,152.4333,31.51,3.8
San Cristobal,85,VE,1632688727,47,7.7669,-72.225,91.58,7.14
Forsytheganj,0,BY,1632688993,93,52.6333,29.7333,43.56,6.85
Beringovskiy,99,RU,1632688993,81,63.05,179.3167,36.37,2.17
Walvis Bay,3,NA,1632688993,82,-22.9575,14.5053,56.35,6.91
Jérémie,36,HT,1632688994,77,18.65,-74.1167,84.06,3.94
Black River,22,JM,1632688994,64,18.0264,-77.8487,87.8,4.94
Kidal,0,ML,1632688995,12,18.4411,1.4078,90.37,10.33
San Patricio,10,US,1632688995,38,28.017,-97.5169,90.32,12.21
Teya,100,RU,1632688995,93,60.3778,92.6267,35.38,5.77
Kaitangata,13,NZ,1632688996,77,-46.2817,169.8464,46.92,4.83
Liverpool,100,GB,1632688865,78,53.4106,-2.9779,65.17,5.99
Severo-Kuril'sk,94,RU,1632688996,92,50.6789,156.125,49.66,10.92
Saint-Augustin,100,CA,1632688997,98,51.226,-58.6502,57.18,5.26
Arandis,0,NA,1632688997,56,-22.4167,14.9667,61.61,3.8
Baculin,97,PH,1632688997,85,7.4525,126.5842,77.54,4.59
Touros,4,BR,1632688998,81,-5.1989,-35.4608,81.5,16.96
Provideniya,75,RU,1632688998,81,64.3833,-173.3,37.51,8.95
Nemuro,18,JP,1632688998,84,43.3236,145.575,56.68,10.76
Uelzen,74,DE,1632688999,84,52.9667,10.5667,67.05,2.33
Yishui,100,CN,1632688999,98,35.7847,118.6281,67.5,4.5
Falam,82,MM,1632688999,94,22.9167,93.6833,61.3,0.27
Clyde River,43,CA,1632689000,83,70.4692,-68.5914,28.54,6.04
Atchison,0,US,1632689000,13,39.563,-95.1216,94.82,23.33
Gōtsuchō,17,JP,1632689000,90,35.0,132.2167,66.72,7.14
Pangai,75,TO,1632689001,57,-19.8,-174.35,75.31,4.61
Tilichiki,100,RU,1632689001,95,60.4667,166.1,39.54,5.21
Ritchie,2,ZA,1632689001,12,-29.038,24.6028,65.41,2.86
Deloraine,47,AU,1632689002,17,-41.5333,146.6667,39.99,1.54
Djibo,74,BF,1632689002,25,14.1022,-1.6306,94.15,1.59
Mizdah,98,LY,1632689002,44,31.4451,12.9801,72.54,8.55
Necochea,100,AR,1632689002,70,-38.5473,-58.7368,51.04,13.33
Nuuk,0,GL,1632689003,57,64.1835,-51.7216,31.87,5.99
La Ronge,75,CA,1632689003,55,55.1001,-105.2842,61.05,3.44
Fomboni,6,KM,1632689003,68,-12.28,43.7425,76.14,4.52
Srednekolymsk,100,RU,1632689004,97,67.45,153.6833,32.92,19.84
Shymkent,0,KZ,1632689004,22,42.3,69.6,66.79,11.18
Kharp,49,RU,1632689005,88,66.8014,65.8081,28.98,2.73
Shibetsu,9,JP,1632689005,92,43.659,145.132,53.02,7.09
Dongli,20,CN,1632689005,100,23.5656,116.8194,75.18,2.24
Tocopilla,15,CL,1632689006,70,-22.092,-70.1979,64.67,6.53
Okhotsk,5,RU,1632689006,64,59.3833,143.3,41.14,9.08
Ust-Kuyga,100,RU,1632689006,98,70.0167,135.6,33.12,10.6
Codrington,96,AU,1632689007,78,-38.2667,141.9667,43.54,7.74
Endirey,0,RU,1632689007,50,43.1632,46.654,56.21,6.51
Tamandaré,28,BR,1632688944,87,-8.7597,-35.1047,75.65,12.08
Hirara,8,JP,1632689007,79,24.8,125.2833,82.76,13.02
Dawei,100,MM,1632689008,97,14.0833,98.2,73.83,3.69
Mirpur Sakro,20,PK,1632689008,74,24.5474,67.6277,84.42,9.64
College,75,US,1632688717,82,64.8569,-147.8028,34.29,3.44
Mountain Home,1,US,1632689009,13,43.133,-115.6912,81.34,0.0
